date,ticker,company_name,quantity,price,market_value,weight
20260330,4568.T,Daiichi Sankyo,9,2816.5,25348.5,0.243851640925248
20260330,7011.T,Mitsubishi Heavy Industries,9,4418.0,39762.0,0.3825089826407761
20260330,8035.T,Tokyo Electron,1,38840.0,38840.0,0.3736393764339757
20260331,4568.T,Daiichi Sankyo,9,2766.0,24894.0,0.2486143152470264
20260331,7011.T,Mitsubishi Heavy Industries,9,4223.0,38007.0,0.3795727596848129
20260331,8035.T,Tokyo Electron,1,37230.0,37230.0,0.3718129250681607
20260401,4568.T,Daiichi Sankyo,9,2887.0,25983.0,0.2438047160162517
20260401,7011.T,Mitsubishi Heavy Industries,9,4590.0,41310.0,0.387621630244058
20260401,8035.T,Tokyo Electron,1,39280.0,39280.0,0.3685736537396901
20260402,4568.T,Daiichi Sankyo,9,2888.5,25996.5,0.2442924198072649
20260402,7011.T,Mitsubishi Heavy Industries,9,4711.0,42399.0,0.3984288003157434
20260402,8035.T,Tokyo Electron,1,38020.0,38020.0,0.3572787798769916
20260403,4568.T,Daiichi Sankyo,9,2863.5,25771.5,0.2399167741124666
20260403,7011.T,Mitsubishi Heavy Industries,9,4803.0,43227.0,0.4024167159288204
20260403,8035.T,Tokyo Electron,1,38420.0,38420.0,0.3576665099587129
20260406,4568.T,Daiichi Sankyo,9,2858.0,25722.0,0.2410526019848744
20260406,7011.T,Mitsubishi Heavy Industries,9,4735.0,42615.0,0.3993646152548568
20260406,8035.T,Tokyo Electron,1,38370.0,38370.0,0.3595827827602688
20260407,4568.T,Daiichi Sankyo,9,2873.0,25857.0,0.2408595940495375
20260407,7011.T,Mitsubishi Heavy Industries,9,4784.0,43056.0,0.4010693692770579
20260407,8035.T,Tokyo Electron,1,38440.0,38440.0,0.3580710366734045
20260408,4568.T,Daiichi Sankyo,9,2832.5,25492.5,0.2285246856861119
20260408,7011.T,Mitsubishi Heavy Industries,9,4850.0,43650.0,0.3912955783151431
20260408,8035.T,Tokyo Electron,1,42410.0,42410.0,0.380179735998745
20260409,4568.T,Daiichi Sankyo,9,2806.5,25258.5,0.2286302640809214
20260409,7011.T,Mitsubishi Heavy Industries,9,4781.0,43029.0,0.3894820212260415
20260409,8035.T,Tokyo Electron,1,42190.0,42190.0,0.381887714693037
20260410,4568.T,Daiichi Sankyo,9,2772.5,24952.5,0.2233935405895387
20260410,7011.T,Mitsubishi Heavy Industries,9,4745.0,42705.0,0.3823272678439535
20260410,8035.T,Tokyo Electron,1,44040.0,44040.0,0.3942791915665077
20260413,4568.T,Daiichi Sankyo,9,2731.5,24583.5,0.2237049844165889
20260413,7011.T,Mitsubishi Heavy Industries,9,4761.0,42849.0,0.3899174192961303
20260413,8035.T,Tokyo Electron,1,42460.0,42460.0,0.3863775962872807
