date,scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
20260112,normal,1,37584.8359375,-1892.608728303048,-2659.7105612192313,-2399.7430797988727,-3087.8518706064074
20260112,stress,1,37584.8359375,-2519.044094854215,-3587.3181057655884,-3185.065112893723,-4321.161349411491
20260112,normal,10,37584.8359375,-4840.900142365842,-6973.450741436797,-6258.126223937888,-8510.549628593522
20260112,stress,10,37584.8359375,-8457.481805862964,-11130.591921006608,-10090.527679908238,-12457.075066244051
20260113,normal,1,112292.38549804688,-3855.686466454943,-4830.32319664271,-4590.258488553236,-5839.18564574803
20260113,stress,1,112292.38549804688,-5942.9626080728385,-7947.384833274514,-7049.593482867243,-8759.982675179786
20260113,normal,10,112292.38549804688,-9731.29557432704,-13559.515416499951,-12344.553972022952,-16978.559630840533
20260113,stress,10,112292.38549804688,-17197.508136498906,-24704.427193564945,-22195.00781245045,-29932.14484693016
20260114,normal,1,114329.85473632812,-4339.508915081203,-6056.667865331988,-5379.815724404196,-6978.100681947695
20260114,stress,1,114329.85473632812,-5872.579626571206,-8078.784264496626,-7311.151405406979,-9152.8597775958
20260114,normal,10,114329.85473632812,-11265.591743042796,-18184.120512388246,-14594.066687701416,-19057.11219897992
20260114,stress,10,114329.85473632812,-17719.229974806854,-25324.89910865197,-22985.896151584493,-32118.405759697875
20260115,normal,1,115513.00708007812,-4241.820087386691,-5549.7170588753315,-5155.888766462811,-6364.551221864354
20260115,stress,1,115513.00708007812,-6421.838935876655,-8025.796371173762,-7425.387829562682,-9484.15475651361
20260115,normal,10,115513.00708007812,-11024.705134927495,-15220.119085038565,-14143.803078150975,-18027.34914306529
20260115,stress,10,115513.00708007812,-18118.32008856609,-25140.32902451455,-22859.50071552797,-30623.26819680466
20260116,normal,1,113003.10668945312,-3637.913711223572,-5005.531507214791,-4578.8155277418855,-6168.955892956202
20260116,stress,1,113003.10668945312,-5444.260759279928,-7951.562162643808,-6776.525929025261,-8783.095835090358
